,Shipment Number,ATF Port Dep 1 Date,ATF Port Dep 1 Yr/Week,Operational plan Port Dep 1 Yr/Week,FFE,TON,Booking Create Date,Booking Status,Receipt Service Mode,Delivery Service Mode,Cargo Type,Container Type,Container Size,String,String Direction,POR Site Code,POR Country Code,POR Cluster Code,POR Region Code,POD Country Code,POD Cluster Code,POD Region Code,LOPFI Site Code,LOPFI Country Code,LOPFI Region Code,LOPFI Cluster Code,DIPLA Site Code,DIPLA Country Code,DIPLA Cluster Code,DIPLA Region Code,Est Trans days,Atf Trans days
0,000529300,9/3/2010,2010/35,2010/35,5,8179,08/25/2010,Active,CY,CY,DRY,DRY,20,EAFEUR888,S  ,TRKORTM ,TR,BSE,MED,TZ,KEC,AFR,TRKORTM,TR,MED,BSE,TZDARTM,TZ,KEC,AFR,88.0,67.0
1,063559456,9/11/2010,2010/36,2010/36,3,57525,09/03/2010,Active,CY,SD,DRY,DRY,40,CAMFEA691,E  ,CNHSKTA ,CN,PRN,NAS,GT,MIC,LAM,CNHSKTA,CN,NAS,PRN,GTTGZTM,GT,MIC,LAM,210.0,270.0
2,0CM540543,9/25/2010,2010/38,2010/38,1,15763,09/21/2010,Active,CY,CY,DRY,DRY,40,MEDMED888,,TRMERMT ,TR,BSE,MED,PT,IBE,MED,TRMERMT,TR,MED,BSE,PTLISTM,PT,IBE,MED,56.0,42.0
3,20102528B,9/22/2010,2010/38,2010/38,15,88758,10/25/2010,Active,CY,CY,DRY,DRY,20,FEAEUR410,E  ,NLROT01 ,NL,NLC,NEU,CN,PRE,NAS,NLROT01,NL,NEU,NLC,CNNPOTM,CN,PRE,NAS,243.0,173.0
4,527580801,9/9/2010,2010/36,2010/36,5,1033,08/31/2010,Active,CY,CY,DRY,DRY,20,FEASAA888,W  ,CNTSTQQ ,CN,PRN,NAS,IN,INC,WCA,CNTSTQQ,CN,NAS,PRN,INMAATM,IN,INC,WCA,75.0,
5,528550108,9/16/2010,2010/37,2010/37,1,17306,07/10/2009,Active,CY,CY,DRY,DRY,40,FEAEUR416,E  ,ITCTA32P,IT,ITC,MED,CN,PRN,NAS,ITCTA32P,IT,MED,ITC,CNTSTQQ,CN,PRN,NAS,73.0,
6,538582000,9/3/2010,2010/35,2010/35,1,237,08/25/2010,Active,CY,CY,DRY,DRY,40,MEAMED888,E  ,TRKORTM ,TR,BSE,MED,AE,AEC,WCA,TRKORTM,TR,MED,BSE,AEJALTM,AE,AEC,WCA,40.0,27.0
7,539069000,9/1/2010,2010/35,2010/35,1,10362,08/25/2010,Active,CY,SD,DRY,DRY,40,MEDMED888,,TRKORTM ,TR,BSE,MED,ES,IBE,MED,TRKORTM,TR,MED,BSE,ESVCITC,ES,IBE,MED,84.0,77.0
8,540445000,9/1/2010,2010/35,2010/35,1,7363,08/25/2010,Active,CY,SD,DRY,DRY,40,MEDMED888,,TRKORTM ,TR,BSE,MED,ES,IBE,MED,TRKORTM,TR,MED,BSE,ESALRTM,ES,IBE,MED,187.0,182.0
9,540447000,9/1/2010,2010/35,2010/35,1,7959,08/25/2010,Active,CY,SD,DRY,DRY,40,MEDMED888,,TRKORTM ,TR,BSE,MED,ES,IBE,MED,TRKORTM,TR,MED,BSE,ESALRTM,ES,IBE,MED,41.0,181.0
10,550043314,9/7/2010,2010/36,2010/36,5,18739,08/22/2010,Active,CY,CY,DRY,DRY,20,FEAWNA750,E  ,CNSGHY1 ,CN,PRE,NAS,CA,USC,NAM,CNSGHY1,CN,NAS,PRE,CAVNRDP,CA,USC,NAM,54.0,41.0
11,550043316,9/7/2010,2010/36,2010/36,1,37478,08/22/2010,Active,CY,CY,DRY,DRY,20,FEAWNA750,E  ,CNSGHY1 ,CN,PRE,NAS,CA,USC,NAM,CNSGHY1,CN,NAS,PRE,CAVNRDP,CA,USC,NAM,108.0,82.0
12,550043317,9/7/2010,2010/36,2010/36,1,23149,08/30/2010,Active,CY,CY,DRY,DRY,40,FEAWNA750,E  ,CNSGHY1 ,CN,PRE,NAS,CA,USC,NAM,CNSGHY1,CN,NAS,PRE,CAVNRDP,CA,USC,NAM,62.0,50.0
13,550043318,9/7/2010,2010/36,2010/36,1,37478,08/30/2010,Active,CY,CY,DRY,DRY,20,FEAWNA750,E  ,CNSGHY1 ,CN,PRE,NAS,CA,USC,NAM,CNSGHY1,CN,NAS,PRE,CAVNRDP,CA,USC,NAM,108.0,82.0
14,550043319,9/21/2010,2010/38,2010/38,5,18739,09/13/2010,Active,CY,CY,DRY,DRY,20,FEAWNA750,E  ,CNSGHY1 ,CN,PRE,NAS,CA,USC,NAM,CNSGHY1,CN,NAS,PRE,CAVNRDP,CA,USC,NAM,55.0,43.0
15,550043320,9/21/2010,2010/38,2010/38,5,18739,09/13/2010,Active,CY,CY,DRY,DRY,20,FEAWNA750,E  ,CNSGHY1 ,CN,PRE,NAS,CA,USC,NAM,CNSGHY1,CN,NAS,PRE,CAVNRDP,CA,USC,NAM,55.0,43.0
